ticket_id,user_id,issue_type,resolved,response_time_days
S168,U1038401,Login Issue,Yes,8
S169,U1077194,App Crash,No,7
S170,U1090069,App Crash,Yes,9
S171,U1017268,Login Issue,No,9
S172,U1020343,Refund Delay,Yes,3
S173,U1026022,Login Issue,No,2
S174,U1058031,Refund Delay,Yes,5
S175,U1004677,Payment Failure,No,9
S176,U1046139,Login Issue,Yes,6
S177,U1015095,Login Issue,Yes,5
S178,U1052652,Payment Failure,Yes,3
S179,U1063720,App Crash,Yes,3
S180,U1047725,Refund Delay,Yes,5
S181,U1064328,App Crash,No,5
S182,U1045361,Refund Delay,Yes,4
S183,U1028323,Login Issue,Yes,4
S184,U1029129,Login Issue,Yes,4
S185,U1039734,Payment Failure,Yes,4
S186,U1097153,Login Issue,Yes,9
S187,U1028517,Refund Delay,Yes,1
S188,U1031683,Refund Delay,Yes,7
S189,U1044149,Refund Delay,Yes,8
S190,U1063447,Payment Failure,No,5
S191,U1021250,Payment Failure,Yes,6
S192,U1086400,App Crash,No,2
S193,U1034419,Payment Failure,Yes,6
S194,U1015084,Payment Failure,Yes,2
S195,U1050322,Login Issue,No,9
S196,U1067969,Login Issue,Yes,6
S197,U1064784,App Crash,Yes,1
S198,U1078801,Payment Failure,Yes,8
S199,U1047648,App Crash,Yes,8
S200,U1032423,Payment Failure,Yes,7
S201,U1047520,Payment Failure,Yes,3
S202,U1070697,App Crash,Yes,7
S203,U1046234,Payment Failure,Yes,5
S204,U1024910,Payment Failure,Yes,2
S205,U1017597,Login Issue,No,7
S206,U1056968,Login Issue,Yes,4
S207,U1033675,Login Issue,Yes,9
S208,U1076926,Refund Delay,Yes,4
S209,U1040401,Refund Delay,Yes,6
S210,U1036544,App Crash,Yes,3
S211,U1084983,Refund Delay,Yes,5
S212,U1088883,App Crash,Yes,1
S213,U1055476,Login Issue,No,5
S214,U1047182,Payment Failure,Yes,6
S215,U1015696,App Crash,Yes,8
S216,U1030061,Refund Delay,Yes,9
S217,U1075958,Login Issue,Yes,1
S218,U1071646,Login Issue,Yes,3
S219,U1084333,App Crash,Yes,9
S220,U1058519,Refund Delay,No,5
S221,U1046532,App Crash,No,5
S222,U1026374,App Crash,Yes,7
S223,U1054782,Payment Failure,Yes,2
S224,U1011739,Payment Failure,No,2
S225,U1094086,Login Issue,Yes,4
S226,U1027653,Login Issue,Yes,7
S227,U1059735,App Crash,Yes,2
S228,U1015468,Refund Delay,Yes,1
S229,U1041760,App Crash,Yes,3
S230,U1047265,Refund Delay,Yes,9
S231,U1025279,App Crash,Yes,7
S232,U1005209,App Crash,Yes,2
S233,U1005648,Refund Delay,Yes,6
S234,U1024029,Payment Failure,Yes,5
S235,U1079531,App Crash,Yes,8
S236,U1088258,App Crash,Yes,7
S237,U1081976,Login Issue,Yes,4
S238,U1080701,App Crash,Yes,9
S239,U1034804,Login Issue,Yes,5
S240,U1052263,Login Issue,Yes,3
S241,U1075681,App Crash,No,9
S242,U1020372,App Crash,Yes,5
S243,U1074899,Login Issue,Yes,8
S244,U1043674,Login Issue,No,5
S245,U1047864,App Crash,Yes,7
S246,U1055123,App Crash,Yes,6
S247,U1076991,Refund Delay,Yes,1
S248,U1004877,Payment Failure,No,3
S249,U1078022,App Crash,No,3
S250,U1081206,Refund Delay,No,2
S251,U1020748,App Crash,Yes,8
S252,U1006863,Refund Delay,Yes,4
S253,U1002888,Login Issue,Yes,3
S254,U1008630,Payment Failure,Yes,6
S255,U1063487,Refund Delay,Yes,3
S256,U1086939,App Crash,Yes,3
S257,U1053363,App Crash,No,4
S258,U1050418,Refund Delay,Yes,6
S259,U1080649,App Crash,No,4
S260,U1043821,App Crash,Yes,4
S261,U1012874,Payment Failure,Yes,3
S262,U1091934,Refund Delay,Yes,6
S263,U1067669,Refund Delay,Yes,2
S264,U1051893,App Crash,Yes,1
S265,U1093668,Payment Failure,Yes,9
S266,U1081877,Payment Failure,Yes,2
S267,U1057187,Refund Delay,Yes,8
S268,U1030943,Login Issue,No,2
S269,U1038808,Login Issue,Yes,8
S270,U1092537,Payment Failure,Yes,9
S271,U1060090,App Crash,Yes,4
S272,U1099327,Login Issue,Yes,6
S273,U1061716,Payment Failure,Yes,1
S274,U1031075,Payment Failure,Yes,8
S275,U1016436,Refund Delay,Yes,6
S276,U1076386,Login Issue,Yes,5
S277,U1018334,App Crash,Yes,8
S278,U1075910,Refund Delay,Yes,4
S279,U1057295,Login Issue,No,4
S280,U1079679,App Crash,Yes,3
S281,U1047406,App Crash,Yes,1
S282,U1056217,Refund Delay,Yes,8
S283,U1028534,Login Issue,Yes,9
S284,U1000437,App Crash,Yes,8
S285,U1057030,App Crash,Yes,2
S286,U1091988,App Crash,Yes,4
S287,U1009821,Refund Delay,Yes,7
S288,U1031171,Payment Failure,Yes,8
S289,U1025922,Refund Delay,No,6
S290,U1045165,App Crash,Yes,9
S291,U1056626,App Crash,Yes,7
S292,U1016130,Refund Delay,Yes,8
S293,U1044687,Login Issue,Yes,7
S294,U1086041,Refund Delay,No,8
S295,U1086811,Login Issue,No,1
S296,U1099947,Payment Failure,Yes,1
S297,U1032241,App Crash,Yes,4
S298,U1067222,App Crash,Yes,8
S299,U1033925,Payment Failure,Yes,2
S300,U1086262,Login Issue,Yes,7
S301,U1073654,Payment Failure,No,5
S302,U1022926,Payment Failure,Yes,7
S303,U1071957,Login Issue,Yes,9
S304,U1036804,Refund Delay,Yes,2
S305,U1087699,Login Issue,Yes,7
S306,U1075857,Login Issue,No,3
S307,U1059300,Login Issue,Yes,1
S308,U1065990,App Crash,Yes,9
S309,U1005222,Login Issue,No,7
S310,U1021111,App Crash,Yes,9
S311,U1085328,Refund Delay,Yes,1
S312,U1094544,App Crash,Yes,4
S313,U1007478,App Crash,Yes,1
S314,U1069940,Refund Delay,No,6
S315,U1013534,Login Issue,Yes,8
S316,U1098004,Payment Failure,Yes,2
S317,U1070240,Payment Failure,Yes,8
S318,U1089977,Login Issue,Yes,7
S319,U1016010,Payment Failure,Yes,5
S320,U1026331,Refund Delay,Yes,6
S321,U1002842,Login Issue,Yes,8
S322,U1057646,Refund Delay,Yes,9
S323,U1059355,Login Issue,Yes,1
S324,U1000430,App Crash,Yes,9
S325,U1092522,App Crash,Yes,4
S326,U1004736,Payment Failure,Yes,2
S327,U1083029,Login Issue,No,5
S328,U1024855,App Crash,Yes,6
S329,U1043360,Payment Failure,Yes,3
S330,U1086716,Refund Delay,Yes,3
S331,U1034675,Refund Delay,Yes,3
S332,U1060816,Payment Failure,No,1
S333,U1065885,Refund Delay,Yes,3
S334,U1068854,Login Issue,Yes,6
S335,U1030209,Refund Delay,Yes,9
S336,U1050929,Refund Delay,Yes,4
S337,U1042977,Refund Delay,No,2
S338,U1074222,Login Issue,Yes,1
S339,U1097643,Payment Failure,Yes,5
S340,U1081987,Payment Failure,Yes,7
S341,U1063721,Refund Delay,Yes,6
S342,U1026616,Payment Failure,Yes,8
S343,U1083017,Login Issue,Yes,5
S344,U1054513,Login Issue,No,4
S345,U1012914,App Crash,Yes,4
S346,U1079658,Refund Delay,Yes,7
S347,U1067385,Login Issue,Yes,4
S348,U1060461,App Crash,Yes,4
S349,U1092385,Payment Failure,No,5
S350,U1028736,Payment Failure,Yes,5
S351,U1003115,Login Issue,Yes,5
S352,U1064071,App Crash,Yes,8
S353,U1092868,App Crash,Yes,9
S354,U1020366,Refund Delay,Yes,2
S355,U1066217,App Crash,Yes,5
S356,U1015712,Refund Delay,Yes,9
S357,U1059714,Login Issue,Yes,2
S358,U1089484,Login Issue,Yes,1
S359,U1084848,Login Issue,Yes,7
S360,U1046411,Login Issue,Yes,6
S361,U1096490,Login Issue,Yes,5
S362,U1064600,Payment Failure,Yes,8
S363,U1066169,App Crash,No,6
S364,U1090631,Login Issue,Yes,4
S365,U1062226,Login Issue,Yes,2
S366,U1067666,Payment Failure,Yes,6
S367,U1047938,Payment Failure,Yes,3
S368,U1019010,Refund Delay,Yes,8
S369,U1059980,Payment Failure,Yes,4
S370,U1089687,App Crash,Yes,8
S371,U1046639,App Crash,Yes,9
S372,U1086381,Login Issue,Yes,7
S373,U1002590,Login Issue,Yes,3
S374,U1091043,Refund Delay,Yes,9
S375,U1057158,Payment Failure,Yes,4
S376,U1052668,App Crash,Yes,4
S377,U1079515,Login Issue,Yes,5
S378,U1045850,Login Issue,Yes,2
S379,U1066925,App Crash,Yes,8
S380,U1074991,Payment Failure,Yes,4
S381,U1096845,Refund Delay,Yes,2
S382,U1073647,Refund Delay,Yes,5
S383,U1048635,App Crash,Yes,3
S384,U1016722,Login Issue,No,1
S385,U1035036,App Crash,Yes,5
S386,U1088654,Login Issue,No,5
S387,U1098844,Login Issue,Yes,2
S388,U1056675,App Crash,Yes,2
S389,U1018335,Payment Failure,Yes,6
S390,U1034961,Login Issue,Yes,5
S391,U1015434,Refund Delay,Yes,2
S392,U1085137,App Crash,Yes,6
S393,U1042358,App Crash,Yes,5
S394,U1022196,App Crash,No,1
S395,U1024764,Refund Delay,Yes,3
S396,U1039256,Login Issue,Yes,2
S397,U1063038,Refund Delay,Yes,7
S398,U1022539,Payment Failure,Yes,6
S399,U1098412,Login Issue,Yes,1
S400,U1035103,Payment Failure,Yes,5
S401,U1003351,Login Issue,Yes,8
S402,U1071877,App Crash,Yes,9
S403,U1006519,Login Issue,Yes,9
S404,U1022267,Payment Failure,Yes,7
S405,U1098533,Refund Delay,Yes,2
S406,U1077386,Payment Failure,Yes,4
S407,U1009976,Payment Failure,Yes,7
S408,U1088172,Payment Failure,Yes,1
S409,U1030318,App Crash,Yes,7
S410,U1080471,Payment Failure,Yes,5
S411,U1037177,Refund Delay,Yes,4
S412,U1078275,Payment Failure,No,4
S413,U1010339,Refund Delay,Yes,9
S414,U1035139,Refund Delay,Yes,2
S415,U1097050,Refund Delay,Yes,7
S416,U1078940,Login Issue,Yes,5
S417,U1065910,Refund Delay,Yes,6
S418,U1095433,App Crash,Yes,6
S419,U1085746,Payment Failure,Yes,3
S420,U1018834,Login Issue,Yes,2
S421,U1065106,App Crash,No,7
S422,U1069296,Payment Failure,Yes,9
S423,U1014920,Login Issue,Yes,1
S424,U1029332,Payment Failure,Yes,4
S425,U1030084,App Crash,Yes,3
S426,U1073357,App Crash,Yes,1
S427,U1028193,Payment Failure,Yes,8
S428,U1097902,Payment Failure,No,7
S429,U1019639,Refund Delay,Yes,7
S430,U1030322,Login Issue,Yes,5
S431,U1010568,Login Issue,Yes,1
S432,U1074543,Login Issue,No,2
S433,U1027496,Login Issue,No,7
S434,U1009513,App Crash,Yes,4
S435,U1081625,App Crash,Yes,7
S436,U1097554,Login Issue,Yes,6
S437,U1029071,App Crash,Yes,4
S438,U1026911,App Crash,Yes,9
S439,U1023164,Payment Failure,Yes,2
S440,U1073466,Payment Failure,No,7
S441,U1057230,Refund Delay,No,5
S442,U1081812,App Crash,Yes,7
S443,U1071665,App Crash,Yes,5
S444,U1016180,App Crash,Yes,7
S445,U1019409,Payment Failure,Yes,4
S446,U1045247,Payment Failure,Yes,5
S447,U1058817,Payment Failure,Yes,5
S448,U1021551,Login Issue,No,5
S449,U1060290,Login Issue,Yes,6
S450,U1021966,App Crash,Yes,3
S451,U1036090,Refund Delay,Yes,2
S452,U1015744,Login Issue,Yes,5
S453,U1014681,Login Issue,Yes,9
S454,U1097903,App Crash,Yes,7
S455,U1092442,Login Issue,No,7
S456,U1023147,Payment Failure,Yes,1
S457,U1030454,App Crash,Yes,4
S458,U1025363,Login Issue,Yes,3
S459,U1080684,Login Issue,Yes,1
S460,U1086241,Login Issue,No,6
S461,U1026570,Refund Delay,No,4
S462,U1049109,Login Issue,Yes,5
S463,U1098895,Refund Delay,Yes,5
S464,U1005110,Payment Failure,Yes,5
S465,U1066627,Refund Delay,Yes,3
S466,U1056137,App Crash,No,5
S467,U1070377,Payment Failure,Yes,7
S468,U1044496,Login Issue,Yes,5
S469,U1004367,Payment Failure,Yes,9
S470,U1085896,Refund Delay,Yes,5
S471,U1020938,Payment Failure,Yes,2
S472,U1030180,Login Issue,Yes,8
S473,U1084628,Refund Delay,Yes,2
S474,U1006669,App Crash,Yes,5
S475,U1044468,Login Issue,Yes,2
S476,U1073727,App Crash,Yes,4
S477,U1091959,App Crash,Yes,9
S478,U1087795,Refund Delay,Yes,4
S479,U1036908,Refund Delay,Yes,7
S480,U1076554,Payment Failure,Yes,1
S481,U1080868,Payment Failure,Yes,6
S482,U1011884,Login Issue,Yes,2
S483,U1082330,Payment Failure,No,3
S484,U1074548,Refund Delay,Yes,8
S485,U1062113,Refund Delay,Yes,1
S486,U1097113,Payment Failure,Yes,9
S487,U1040915,Login Issue,Yes,1
S488,U1012470,App Crash,Yes,4
S489,U1006157,Payment Failure,No,4
S490,U1096774,Login Issue,Yes,1
S491,U1001071,Refund Delay,Yes,1
S492,U1024147,App Crash,No,6
S493,U1085977,Payment Failure,Yes,6
S494,U1062007,Refund Delay,Yes,4
S495,U1066684,App Crash,Yes,3
S496,U1075196,App Crash,Yes,3
S497,U1047973,Login Issue,Yes,3
S498,U1055661,App Crash,Yes,7
S499,U1050811,Refund Delay,Yes,4
S500,U1077617,Payment Failure,Yes,1
S501,U1047425,Payment Failure,Yes,2
S502,U1060029,Payment Failure,Yes,1
S503,U1097256,Login Issue,Yes,4
S504,U1043362,App Crash,Yes,6
S505,U1055208,Payment Failure,Yes,5
S506,U1072187,Refund Delay,Yes,1
S507,U1024167,Refund Delay,Yes,7
S508,U1080362,Login Issue,Yes,9
S509,U1012338,Refund Delay,Yes,8
S510,U1090911,Login Issue,No,1
S511,U1067283,Payment Failure,Yes,3
S512,U1070153,Payment Failure,Yes,3
S513,U1060106,Payment Failure,Yes,5
S514,U1086215,Refund Delay,Yes,6
S515,U1004473,Payment Failure,Yes,8
S516,U1099473,Payment Failure,Yes,5
S517,U1020275,App Crash,Yes,3
S518,U1056840,Login Issue,No,4
S519,U1090377,Refund Delay,Yes,7
S520,U1087746,Login Issue,Yes,6
S521,U1044852,Login Issue,Yes,4
S522,U1065048,Payment Failure,Yes,8
S523,U1059102,App Crash,Yes,7
S524,U1060838,Login Issue,Yes,4
S525,U1010866,Refund Delay,Yes,5
S526,U1007151,Login Issue,Yes,5
S527,U1013780,Payment Failure,No,6
S528,U1095067,Payment Failure,No,2
S529,U1048257,Refund Delay,No,1
S530,U1027046,Payment Failure,No,1
S531,U1093863,App Crash,Yes,2
S532,U1084179,Refund Delay,No,3
S533,U1087495,Payment Failure,Yes,7
S534,U1076444,Login Issue,Yes,6
S535,U1032219,Payment Failure,Yes,9
S536,U1043178,Payment Failure,Yes,6
S537,U1067695,Refund Delay,Yes,3
S538,U1020687,Payment Failure,No,6
S539,U1080602,Payment Failure,No,8
S540,U1004593,App Crash,Yes,4
S541,U1084883,Refund Delay,Yes,6
S542,U1072844,Payment Failure,No,4
S543,U1051894,Refund Delay,Yes,6
S544,U1014234,App Crash,Yes,9
S545,U1060514,Refund Delay,Yes,1
S546,U1081304,Login Issue,Yes,6
S547,U1039468,App Crash,Yes,4
S548,U1075169,Refund Delay,Yes,3
S549,U1017913,App Crash,Yes,8
S550,U1053162,Login Issue,Yes,9
S551,U1071600,Login Issue,No,8
S552,U1051817,Refund Delay,Yes,8
S553,U1083964,Payment Failure,Yes,9
S554,U1098152,Login Issue,Yes,9
S555,U1019795,Refund Delay,Yes,5
S556,U1089593,Refund Delay,Yes,6
S557,U1025952,Refund Delay,Yes,5
S558,U1094186,Login Issue,Yes,4
S559,U1081614,Login Issue,No,5
S560,U1068225,App Crash,Yes,4
S561,U1068259,Login Issue,Yes,7
S562,U1084718,App Crash,Yes,7
S563,U1089551,Payment Failure,Yes,4
S564,U1074660,Login Issue,Yes,5
S565,U1064324,Payment Failure,Yes,5
S566,U1062162,Payment Failure,Yes,1
S567,U1050704,Login Issue,Yes,9
S568,U1097484,App Crash,Yes,6
S569,U1085762,App Crash,Yes,4
S570,U1056573,Login Issue,Yes,9
S571,U1030083,Refund Delay,Yes,7
S572,U1054059,Refund Delay,Yes,5
S573,U1048704,Payment Failure,Yes,2
S574,U1085752,Login Issue,Yes,2
S575,U1052117,Refund Delay,Yes,2
S576,U1045431,Login Issue,No,7
S577,U1089101,Refund Delay,Yes,7
S578,U1001299,Refund Delay,Yes,1
S579,U1016387,Login Issue,Yes,7
S580,U1067800,Login Issue,Yes,9
S581,U1030180,Payment Failure,Yes,3
S582,U1059460,Login Issue,Yes,9
S583,U1048641,App Crash,Yes,5
S584,U1007853,Login Issue,Yes,4
S585,U1091384,Login Issue,Yes,1
S586,U1095617,Refund Delay,No,8
S587,U1084306,Payment Failure,Yes,8
S588,U1023186,Login Issue,Yes,8
S589,U1027593,Refund Delay,No,7
S590,U1049385,Login Issue,Yes,6
S591,U1084922,Refund Delay,No,1
S592,U1088435,Payment Failure,Yes,1
S593,U1015250,Payment Failure,No,8
S594,U1044151,Payment Failure,Yes,9
S595,U1071917,Payment Failure,No,7
S596,U1007479,Payment Failure,Yes,9
S597,U1084240,Payment Failure,Yes,8
S598,U1030990,Login Issue,Yes,2
S599,U1088366,Login Issue,Yes,8
S600,U1031822,App Crash,Yes,6
S601,U1009336,Refund Delay,Yes,1
S602,U1009452,Login Issue,Yes,8
S603,U1042402,Refund Delay,Yes,8
S604,U1099319,Login Issue,Yes,1
S605,U1090549,Payment Failure,Yes,9
S606,U1051197,Login Issue,No,5
S607,U1068006,App Crash,Yes,5
S608,U1055584,Refund Delay,Yes,4
S609,U1075842,Login Issue,Yes,5
S610,U1029649,App Crash,Yes,3
S611,U1032968,App Crash,Yes,6
S612,U1004388,Login Issue,Yes,2
S613,U1097258,Payment Failure,Yes,5
S614,U1067892,Login Issue,Yes,5
S615,U1016952,Login Issue,Yes,9
S616,U1081930,Payment Failure,Yes,4
S617,U1066021,Refund Delay,Yes,6
S618,U1002945,Refund Delay,Yes,5
S619,U1091892,App Crash,Yes,3
S620,U1074713,App Crash,No,6
S621,U1075538,App Crash,Yes,4
S622,U1016508,Refund Delay,Yes,6
S623,U1057566,Payment Failure,Yes,8
S624,U1074279,App Crash,Yes,1
S625,U1008735,Refund Delay,Yes,3
S626,U1046099,App Crash,Yes,9
S627,U1065095,Payment Failure,No,5
S628,U1010336,Payment Failure,Yes,9
S629,U1081959,Refund Delay,Yes,4
S630,U1066347,Payment Failure,Yes,3
S631,U1025019,Login Issue,Yes,4
S632,U1003679,Refund Delay,Yes,9
S633,U1020443,Refund Delay,Yes,2
S634,U1079657,App Crash,Yes,8
S635,U1071776,App Crash,Yes,9
S636,U1045539,Payment Failure,No,1
S637,U1085699,Payment Failure,Yes,3
S638,U1090145,Login Issue,Yes,4
S639,U1086233,Payment Failure,Yes,4
S640,U1065713,App Crash,Yes,8
S641,U1001125,App Crash,Yes,3
S642,U1024040,App Crash,Yes,9
S643,U1009412,Payment Failure,Yes,2
S644,U1011270,Login Issue,Yes,8
S645,U1050361,Refund Delay,Yes,1
S646,U1052420,Payment Failure,Yes,3
S647,U1009426,Payment Failure,Yes,9
S648,U1012228,Refund Delay,Yes,9
S649,U1002879,App Crash,Yes,2
S650,U1058892,Payment Failure,Yes,8
S651,U1001810,Login Issue,Yes,1
S652,U1009835,Login Issue,Yes,6
S653,U1083560,Login Issue,Yes,3
S654,U1059227,Payment Failure,Yes,9
S655,U1099212,Login Issue,Yes,1
S656,U1028767,Refund Delay,Yes,8
S657,U1090959,Login Issue,Yes,5
S658,U1009984,Refund Delay,Yes,8
S659,U1088239,Login Issue,Yes,7
S660,U1088490,App Crash,Yes,4
S661,U1061327,Login Issue,Yes,3
S662,U1056242,Refund Delay,Yes,5
S663,U1042001,Login Issue,No,8
S664,U1070025,Refund Delay,Yes,8
S665,U1047855,Refund Delay,Yes,7
S666,U1080849,App Crash,Yes,1
S667,U1001264,Login Issue,No,1
S668,U1032502,Login Issue,Yes,8
S669,U1018976,App Crash,No,5
S670,U1062626,Login Issue,No,8
S671,U1045045,Refund Delay,Yes,5
S672,U1099690,App Crash,Yes,2
S673,U1058460,Payment Failure,No,4
S674,U1033853,Refund Delay,Yes,7
S675,U1008909,Refund Delay,Yes,8
S676,U1003035,Login Issue,No,9
S677,U1077338,Payment Failure,Yes,8
S678,U1054031,Login Issue,Yes,1
S679,U1094050,App Crash,Yes,4
S680,U1073087,Refund Delay,Yes,7
S681,U1034102,Login Issue,Yes,8
S682,U1038829,Login Issue,Yes,6
S683,U1027415,App Crash,Yes,5
S684,U1045052,Login Issue,Yes,2
S685,U1097563,Refund Delay,No,4
S686,U1029747,Refund Delay,Yes,6
S687,U1050206,Payment Failure,Yes,3
S688,U1069456,App Crash,Yes,2
S689,U1063428,Login Issue,Yes,7
S690,U1088897,Login Issue,Yes,8
S691,U1075578,Login Issue,Yes,4
S692,U1065972,Login Issue,Yes,3
S693,U1095304,Payment Failure,Yes,6
S694,U1021399,App Crash,Yes,2
S695,U1080705,Payment Failure,Yes,2
S696,U1057726,App Crash,No,8
S697,U1041146,Refund Delay,Yes,8
S698,U1072995,Payment Failure,No,8
