user_id,last_active_date,avg_session_time,failed_txns,total_logins
U1000197,2025-06-25,7.13,1,68
U1000198,2025-06-30,8.8,1,100
U1000199,2025-07-02,11.01,2,109
U1000200,2025-10-20,8.12,0,35
U1000201,2025-06-11,3.57,1,49
U1000202,2025-06-19,13.23,1,161
U1000203,2025-06-20,9.2,0,143
U1000204,2025-05-20,13.21,0,204
U1000205,2025-09-11,6.5,1,299
U1000206,2025-09-07,5.46,0,23
U1000207,2025-06-28,10.57,2,43
U1000208,2025-10-07,8.8,0,279
U1000209,2025-10-15,4.9,0,149
U1000210,2025-05-15,5.96,2,200
U1000211,2025-07-15,8.72,1,185
U1000212,2025-08-22,6.46,2,22
U1000213,2025-07-28,12.35,2,138
U1000214,2025-08-30,7.72,0,288
U1000215,2025-10-05,10.09,2,86
U1000216,2025-09-10,3.36,1,123
U1000217,2025-08-11,8.84,2,78
U1000218,2025-09-23,9.14,1,228
U1000219,2025-09-28,5.34,3,207
U1000220,2025-09-19,9.41,1,41
U1000221,2025-08-25,9.04,3,219
U1000222,2025-07-20,7.5,0,127
U1000223,2025-05-12,7.45,3,155
U1000224,2025-05-30,11.44,0,30
U1000225,2025-05-23,7.1,2,60
U1000226,2025-10-20,6.51,0,193
U1000227,2025-09-11,6.42,4,66
U1000228,2025-07-03,10.71,1,48
U1000229,2025-05-21,12.76,1,65
U1000230,2025-09-08,3.93,1,230
U1000231,2025-08-24,4.39,0,51
U1000232,2025-05-28,8.93,1,114
U1000233,2025-09-12,6.23,1,262
U1000234,2025-09-20,4.53,4,172
U1000235,2025-06-25,5.61,5,34
U1000236,2025-06-15,4.94,2,42
U1000237,2025-10-09,12.66,1,14
U1000238,2025-07-31,11.49,1,291
U1000239,2025-09-13,12.17,3,183
U1000240,2025-06-09,8.71,0,66
U1000241,2025-08-05,7.19,0,139
U1000242,2025-05-09,11.54,4,64
U1000243,2025-08-04,7.66,3,113
U1000244,2025-05-28,6.67,1,153
U1000245,2025-08-11,13.33,1,65
U1000246,2025-06-27,6.17,1,162
U1000247,2025-09-08,10.82,1,201
U1000248,2025-05-14,5.83,2,212
U1000249,2025-05-22,7.71,0,196
U1000250,2025-10-09,7.58,5,107
U1000251,2025-05-07,11.42,2,34
U1000252,2025-10-06,6.4,2,158
U1000253,2025-07-02,6.93,2,150
U1000254,2025-06-28,8.33,1,139
U1000255,2025-10-10,7.81,1,195
U1000256,2025-09-11,6.66,0,223
U1000257,2025-06-24,8.79,2,77
U1000258,2025-08-10,10.27,1,256
U1000259,2025-06-23,0.9,1,119
U1000260,2025-08-18,2.72,1,270
U1000261,2025-09-23,11.37,1,277
U1000262,2025-08-16,11.16,0,110
U1000263,2025-10-10,16.53,1,139
U1000264,2025-10-22,5.2,0,88
U1000265,2025-08-31,8.57,0,120
U1000266,2025-10-17,10.47,3,26
U1000267,2025-05-21,7.5,2,48
U1000268,2025-06-01,6.79,0,88
U1000269,2025-05-07,7.51,0,47
U1000270,2025-09-08,10.12,0,65
U1000271,2025-05-16,8.71,0,132
U1000272,2025-07-18,4.56,2,179
U1000273,2025-07-02,7.41,4,199
U1000274,2025-07-29,10.57,2,215
U1000275,2025-07-06,11.17,1,184
U1000276,2025-06-05,2.46,2,161
U1000277,2025-10-22,6.51,0,54
U1000278,2025-05-28,6.21,1,108
U1000279,2025-09-14,9.27,1,12
U1000280,2025-05-15,11.61,2,211
U1000281,2025-09-05,7.73,1,229
U1000282,2025-07-27,4.39,2,235
U1000283,2025-06-25,6.31,1,220
U1000284,2025-10-01,10.59,3,23
U1000285,2025-05-13,7.18,2,291
U1000286,2025-05-15,9.84,2,130
U1000287,2025-09-14,8.27,1,14
U1000288,2025-10-12,5.73,0,175
U1000289,2025-05-12,4.19,0,108
U1000290,2025-08-09,7.21,0,76
U1000291,2025-06-01,8.53,1,229
U1000292,2025-06-28,7.8,0,165
U1000293,2025-06-07,3.56,1,54
U1000294,2025-06-25,3.93,1,214
U1000295,2025-05-13,6.36,4,226
U1000296,2025-07-25,5.52,2,71
U1000297,2025-06-03,4.43,2,240
U1000298,2025-08-24,6.73,0,40
U1000299,2025-06-09,11.43,2,262
U1000300,2025-08-22,4.58,1,58
U1000301,2025-05-27,1.81,1,51
U1000302,2025-10-17,5.51,2,283
U1000303,2025-06-29,6.3,0,183
U1000304,2025-06-30,3.03,4,82
U1000305,2025-10-05,7.03,1,47
U1000306,2025-10-24,8.84,1,289
U1000307,2025-05-09,12.78,3,279
U1000308,2025-09-24,6.99,2,161
U1000309,2025-05-01,7.01,0,92
U1000310,2025-06-05,9.17,4,50
U1000311,2025-05-14,9.0,0,129
U1000312,2025-07-21,9.95,0,177
U1000313,2025-06-18,10.01,1,186
U1000314,2025-09-25,10.8,1,281
U1000315,2025-07-14,4.82,0,289
U1000316,2025-09-05,5.17,1,222
U1000317,2025-07-03,6.48,0,71
U1000318,2025-10-12,7.32,0,270
U1000319,2025-09-20,11.07,1,20
U1000320,2025-09-06,6.29,1,144
U1000321,2025-08-09,7.96,3,280
U1000322,2025-07-17,6.04,0,212
U1000323,2025-06-04,-0.49,1,21
U1000324,2025-06-08,5.18,0,125
U1000325,2025-05-03,6.52,1,224
U1000326,2025-06-25,4.46,0,74
U1000327,2025-10-22,6.87,2,205
U1000328,2025-10-15,8.63,0,139
U1000329,2025-07-19,10.6,2,230
U1000330,2025-05-17,9.96,3,182
U1000331,2025-07-04,6.63,1,60
U1000332,2025-05-11,10.07,2,84
U1000333,2025-07-28,4.21,2,251
U1000334,2025-10-20,8.58,0,178
U1000335,2025-05-19,7.5,0,212
U1000336,2025-05-19,7.4,1,83
U1000337,2025-08-10,12.29,2,176
U1000338,2025-05-09,7.74,0,147
U1000339,2025-05-14,8.66,1,259
U1000340,2025-09-04,4.93,0,67
U1000341,2025-10-03,10.51,0,272
U1000342,2025-07-21,5.91,1,22
U1000343,2025-06-10,5.17,0,73
U1000344,2025-07-05,10.94,1,254
U1000345,2025-06-07,7.93,1,45
U1000346,2025-10-09,6.3,0,295
U1000347,2025-05-13,10.96,1,200
U1000348,2025-08-10,6.49,0,214
U1000349,2025-05-29,9.66,2,92
U1000350,2025-10-19,11.33,3,175
U1000351,2025-07-24,6.11,1,88
U1000352,2025-05-14,7.16,0,167
U1000353,2025-05-19,8.62,1,278
U1000354,2025-06-11,3.26,5,243
U1000355,2025-08-30,11.34,1,197
U1000356,2025-05-15,3.95,0,69
U1000357,2025-07-16,6.59,1,62
U1000358,2025-09-07,9.39,0,32
U1000359,2025-05-19,5.18,0,52
U1000360,2025-09-08,13.11,3,50
U1000361,2025-05-21,8.52,2,38
U1000362,2025-06-25,10.92,1,282
U1000363,2025-09-12,5.44,1,167
U1000364,2025-07-10,11.46,0,276
U1000365,2025-08-22,6.78,0,246
U1000366,2025-09-10,16.9,0,70
U1000367,2025-05-16,12.84,0,100
U1000368,2025-05-17,12.63,0,57
U1000369,2025-05-17,7.7,1,266
U1000370,2025-05-28,2.47,1,214
U1000371,2025-10-21,8.34,2,30
U1000372,2025-05-21,5.25,1,282
U1000373,2025-06-30,6.47,1,291
U1000374,2025-10-09,5.53,1,85
U1000375,2025-07-20,10.28,0,261
U1000376,2025-06-16,7.73,1,244
U1000377,2025-07-07,8.34,2,61
U1000378,2025-05-05,9.59,1,208
U1000379,2025-07-05,8.39,0,21
U1000380,2025-09-21,12.44,2,91
U1000381,2025-06-06,6.46,1,276
U1000382,2025-08-02,10.36,1,119
U1000383,2025-10-01,3.97,1,59
U1000384,2025-05-03,12.97,3,88
U1000385,2025-05-02,12.54,0,122
U1000386,2025-06-07,11.17,1,261
U1000387,2025-10-06,9.79,2,280
U1000388,2025-10-17,7.89,2,199
U1000389,2025-09-03,10.37,3,64
U1000390,2025-06-27,10.19,2,165
U1000391,2025-06-11,8.57,0,138
U1000392,2025-07-27,7.69,1,271
U1000393,2025-09-05,10.38,0,230
U1000394,2025-09-12,8.75,0,225
U1000395,2025-05-15,8.66,1,222
U1000396,2025-05-03,6.31,0,63
U1000397,2025-06-01,6.42,1,295
U1000398,2025-10-23,5.03,1,100
U1000399,2025-08-17,7.68,0,229
U1000400,2025-09-06,11.09,0,120
U1000401,2025-05-02,11.41,0,207
U1000402,2025-07-07,3.9,0,141
U1000403,2025-09-21,12.16,1,98
U1000404,2025-08-09,11.16,2,116
U1000405,2025-05-01,13.79,1,227
U1000406,2025-06-05,8.76,0,168
U1000407,2025-08-30,6.72,2,262
U1000408,2025-09-26,12.11,2,23
U1000409,2025-07-24,8.38,0,205
U1000410,2025-05-09,7.73,1,216
U1000411,2025-05-04,6.47,1,184
U1000412,2025-09-15,9.08,2,83
U1000413,2025-10-15,10.33,2,127
U1000414,2025-08-24,6.39,2,223
U1000415,2025-09-13,7.2,1,204
U1000416,2025-09-22,14.83,2,288
U1000417,2025-05-10,9.65,2,243
U1000418,2025-10-02,13.59,4,147
U1000419,2025-09-20,8.2,0,200
U1000420,2025-05-13,10.41,2,67
U1000421,2025-05-06,9.3,1,191
U1000422,2025-07-26,9.67,3,261
U1000423,2025-07-20,5.33,0,222
U1000424,2025-07-23,7.58,1,52
U1000425,2025-05-08,4.62,1,209
U1000426,2025-06-17,8.91,1,272
U1000427,2025-05-11,3.62,1,222
U1000428,2025-10-07,6.82,2,122
U1000429,2025-09-26,5.27,2,53
U1000430,2025-06-25,9.65,1,86
U1000431,2025-10-24,3.45,0,82
U1000432,2025-07-20,13.39,3,140
U1000433,2025-09-22,5.85,4,171
U1000434,2025-08-30,9.88,2,283
U1000435,2025-07-23,7.63,2,87
U1000436,2025-10-12,7.03,1,251
U1000437,2025-10-05,13.76,1,38
U1000438,2025-05-12,6.3,0,280
U1000439,2025-05-18,10.12,1,243
U1000440,2025-08-09,11.9,2,277
U1000441,2025-07-13,9.84,2,89
U1000442,2025-06-28,7.21,1,258
U1000443,2025-05-22,1.16,0,209
U1000444,2025-06-21,10.72,1,220
U1000445,2025-08-26,10.4,0,284
U1000446,2025-06-06,8.98,1,110
U1000447,2025-06-18,10.21,1,161
U1000448,2025-08-07,7.26,0,272
U1000449,2025-10-22,3.59,1,269
U1000450,2025-05-20,2.29,2,69
U1000451,2025-08-24,7.2,0,196
U1000452,2025-05-07,1.12,1,49
U1000453,2025-09-08,8.86,1,284
U1000454,2025-08-19,7.21,3,42
U1000455,2025-08-27,8.69,2,199
U1000456,2025-06-13,8.63,1,57
U1000457,2025-10-10,6.1,1,82
U1000458,2025-06-10,8.24,3,23
U1000459,2025-08-02,8.38,2,16
U1000460,2025-07-30,8.15,0,123
U1000461,2025-07-04,6.86,2,262
U1000462,2025-07-13,8.68,0,51
U1000463,2025-09-06,4.99,2,286
U1000464,2025-08-20,8.52,2,228
U1000465,2025-10-10,5.69,1,271
U1000466,2025-09-03,6.24,2,184
U1000467,2025-08-10,13.4,0,203
U1000468,2025-06-16,7.1,1,293
U1000469,2025-10-24,10.4,0,225
U1000470,2025-09-29,8.44,0,264
U1000471,2025-09-07,3.24,4,72
U1000472,2025-08-18,12.35,3,126
U1000473,2025-08-14,7.38,0,50
U1000474,2025-07-04,7.16,3,297
U1000475,2025-06-02,9.37,2,143
U1000476,2025-07-12,14.74,1,90
U1000477,2025-06-04,3.67,1,24
U1000478,2025-09-11,5.21,1,38
U1000479,2025-06-02,9.07,0,157
U1000480,2025-06-23,9.21,1,119
U1000481,2025-05-06,10.12,1,166
U1000482,2025-06-22,7.76,0,33
U1000483,2025-06-20,12.92,1,123
U1000484,2025-08-22,10.99,0,245
U1000485,2025-09-07,3.26,1,264
U1000486,2025-06-26,8.54,1,274
U1000487,2025-10-16,7.37,1,180
U1000488,2025-09-12,5.89,3,226
U1000489,2025-10-03,8.68,1,80
U1000490,2025-09-30,0.83,1,58
U1000491,2025-10-12,10.98,0,222
U1000492,2025-09-02,3.72,0,34
U1000493,2025-05-25,5.92,1,196
U1000494,2025-05-07,5.84,0,114
U1000495,2025-09-05,9.44,1,60
U1000496,2025-08-22,7.55,0,290
U1000497,2025-10-03,8.17,2,111
U1000498,2025-08-29,10.83,0,198
U1000499,2025-09-14,9.99,1,166
U1000500,2025-07-11,10.44,2,293
U1000501,2025-08-19,10.38,2,108
U1000502,2025-06-03,6.84,2,61
U1000503,2025-06-30,11.36,0,248
U1000504,2025-06-02,7.63,2,192
U1000505,2025-10-06,11.19,2,210
U1000506,2025-08-18,9.4,1,266
U1000507,2025-07-05,9.2,1,264
U1000508,2025-08-09,10.77,0,174
U1000509,2025-08-07,11.25,3,260
U1000510,2025-08-29,9.1,2,86
U1000511,2025-06-12,5.91,1,71
U1000512,2025-05-05,6.03,1,161
U1000513,2025-05-25,9.02,0,134
U1000514,2025-06-18,7.38,1,256
U1000515,2025-09-08,12.64,2,104
U1000516,2025-10-09,11.71,3,254
U1000517,2025-08-16,9.31,1,91
U1000518,2025-09-20,8.83,1,219
U1000519,2025-05-10,9.38,0,69
U1000520,2025-10-16,7.9,1,175
U1000521,2025-06-18,2.62,0,21
U1000522,2025-07-06,9.16,2,253
U1000523,2025-10-12,8.95,4,107
U1000524,2025-09-09,9.09,2,175
U1000525,2025-08-23,8.5,1,161
U1000526,2025-10-09,1.32,3,56
U1000527,2025-06-24,6.26,1,272
U1000528,2025-10-25,6.9,2,50
U1000529,2025-10-26,6.0,0,151
U1000530,2025-08-31,5.52,1,50
U1000531,2025-10-19,6.27,2,222
U1000532,2025-08-26,5.33,0,282
U1000533,2025-08-25,7.76,1,67
U1000534,2025-07-23,7.78,7,177
U1000535,2025-09-17,5.48,0,133
U1000536,2025-09-11,9.71,1,129
U1000537,2025-10-25,6.29,0,54
U1000538,2025-06-28,6.81,3,107
U1000539,2025-10-19,9.63,1,216
U1000540,2025-07-12,10.87,2,99
U1000541,2025-08-18,7.71,2,12
U1000542,2025-08-23,12.51,1,63
U1000543,2025-10-13,9.13,0,86
U1000544,2025-05-07,5.76,3,46
U1000545,2025-07-16,10.87,1,218
U1000546,2025-05-04,5.71,2,174
U1000547,2025-05-11,5.75,0,175
U1000548,2025-08-18,9.65,0,14
U1000549,2025-06-28,5.53,0,166
U1000550,2025-05-21,14.26,0,163
U1000551,2025-09-14,8.61,0,254
U1000552,2025-05-26,12.01,1,227
U1000553,2025-07-22,9.89,4,138
U1000554,2025-05-09,6.11,0,110
U1000555,2025-05-01,5.54,0,123
U1000556,2025-07-01,6.96,1,71
U1000557,2025-06-25,6.89,1,48
U1000558,2025-07-07,2.87,1,197
U1000559,2025-06-02,10.65,1,124
U1000560,2025-09-12,8.97,1,34
U1000561,2025-05-28,8.9,1,30
U1000562,2025-09-26,9.91,1,242
U1000563,2025-06-03,5.89,0,57
U1000564,2025-09-25,11.24,3,208
U1000565,2025-10-20,4.27,0,169
U1000566,2025-08-17,4.83,1,40
U1000567,2025-07-10,7.41,1,68
U1000568,2025-06-10,10.11,1,282
U1000569,2025-07-03,11.43,1,263
U1000570,2025-06-29,11.46,2,64
U1000571,2025-05-13,0.74,2,91
U1000572,2025-09-24,8.19,0,87
U1000573,2025-09-27,4.81,0,178
U1000574,2025-07-09,1.63,1,96
U1000575,2025-08-25,7.64,1,156
U1000576,2025-10-22,10.06,1,69
U1000577,2025-06-12,11.36,2,292
U1000578,2025-06-14,7.62,1,265
U1000579,2025-08-09,10.42,0,253
U1000580,2025-05-21,3.11,2,85
U1000581,2025-10-04,8.05,2,189
U1000582,2025-10-22,6.59,1,90
U1000583,2025-07-04,9.46,1,224
U1000584,2025-06-20,6.52,4,26
U1000585,2025-08-21,9.85,1,14
U1000586,2025-10-17,9.21,1,101
U1000587,2025-10-05,10.69,1,10
U1000588,2025-08-14,2.56,1,256
U1000589,2025-09-17,8.66,0,91
U1000590,2025-10-12,10.84,0,207
U1000591,2025-07-26,9.03,1,34
U1000592,2025-08-04,4.85,2,105
U1000593,2025-09-02,3.36,1,90
U1000594,2025-09-25,7.07,1,124
U1000595,2025-06-08,-0.48,0,135
U1000596,2025-05-30,10.22,0,186
U1000597,2025-05-25,8.39,2,117
U1000598,2025-07-09,8.1,0,160
U1000599,2025-07-16,9.03,1,242
U1000600,2025-08-19,8.56,0,226
U1000601,2025-08-18,9.98,1,176
U1000602,2025-05-14,2.05,1,165
U1000603,2025-10-06,2.55,1,250
U1000604,2025-07-29,7.48,1,184
U1000605,2025-05-25,6.22,1,21
U1000606,2025-05-17,8.81,5,134
U1000607,2025-09-28,7.48,1,252
U1000608,2025-05-23,3.71,1,30
U1000609,2025-05-04,7.51,5,273
U1000610,2025-06-22,5.53,3,122
U1000611,2025-10-17,9.75,0,123
U1000612,2025-09-15,12.67,0,44
U1000613,2025-08-24,7.47,2,259
U1000614,2025-05-26,7.17,2,282
U1000615,2025-06-22,6.96,2,266
U1000616,2025-08-09,10.71,0,89
U1000617,2025-06-08,10.09,2,283
U1000618,2025-07-23,5.14,2,131
U1000619,2025-08-10,5.1,3,50
U1000620,2025-08-26,7.66,2,80
U1000621,2025-06-15,9.18,2,60
U1000622,2025-10-24,6.28,0,63
U1000623,2025-06-15,9.84,1,288
U1000624,2025-09-15,5.28,1,66
U1000625,2025-05-07,5.84,4,103
U1000626,2025-07-18,7.39,2,176
U1000627,2025-08-09,8.89,0,136
U1000628,2025-05-01,6.5,3,299
U1000629,2025-09-09,7.1,1,49
U1000630,2025-06-10,7.84,0,176
U1000631,2025-05-17,11.54,3,143
U1000632,2025-06-21,9.02,0,173
U1000633,2025-07-04,8.44,1,164
U1000634,2025-09-05,4.67,4,51
U1000635,2025-08-19,2.52,2,248
U1000636,2025-09-30,0.49,0,281
U1000637,2025-09-25,11.94,0,253
U1000638,2025-09-28,8.97,0,64
U1000639,2025-09-10,6.65,0,294
U1000640,2025-06-02,5.14,1,151
U1000641,2025-10-21,13.25,0,114
U1000642,2025-07-19,6.01,1,169
U1000643,2025-10-18,7.07,2,213
U1000644,2025-10-17,9.15,1,34
U1000645,2025-08-07,5.48,1,242
U1000646,2025-05-03,8.9,1,83
U1000647,2025-06-07,7.71,0,179
U1000648,2025-09-08,3.8,0,251
U1000649,2025-05-23,11.2,0,163
U1000650,2025-05-13,4.81,1,58
U1000651,2025-08-01,0.93,4,17
U1000652,2025-05-24,7.11,1,176
U1000653,2025-05-20,6.32,0,134
U1000654,2025-06-28,3.66,1,18
U1000655,2025-05-03,6.61,1,230
U1000656,2025-08-04,7.31,1,171
U1000657,2025-09-06,4.94,3,14
U1000658,2025-05-12,7.93,2,27
U1000659,2025-07-31,10.76,2,160
U1000660,2025-07-06,9.15,1,46
U1000661,2025-05-08,5.36,0,41
U1000662,2025-05-23,5.11,1,215
U1000663,2025-09-30,8.78,0,20
U1000664,2025-09-01,4.84,0,135
U1000665,2025-10-17,2.02,0,96
U1000666,2025-05-13,3.8,0,213
U1000667,2025-06-04,6.11,1,167
U1000668,2025-05-28,6.44,0,124
U1000669,2025-08-29,10.6,1,126
U1000670,2025-09-08,5.49,1,124
U1000671,2025-09-06,10.33,0,289
U1000672,2025-05-11,11.19,1,198
U1000673,2025-10-22,7.11,1,192
U1000674,2025-06-02,7.58,0,120
U1000675,2025-07-27,10.25,2,293
U1000676,2025-08-15,6.55,2,177
U1000677,2025-08-26,10.04,2,248
U1000678,2025-05-15,7.26,1,187
U1000679,2025-06-14,6.23,0,282
U1000680,2025-06-12,5.84,2,175
U1000681,2025-07-15,9.09,0,166
U1000682,2025-07-29,5.71,0,133
U1000683,2025-07-21,7.29,1,149
U1000684,2025-06-18,6.66,0,79
U1000685,2025-09-27,11.89,0,274
U1000686,2025-07-26,12.13,0,49
U1000687,2025-09-20,9.42,0,111
U1000688,2025-06-14,9.65,2,37
U1000689,2025-09-30,7.16,1,175
U1000690,2025-06-19,5.71,1,282
U1000691,2025-05-30,6.36,2,179
U1000692,2025-07-13,8.7,1,160
U1000693,2025-10-03,9.35,0,224
U1000694,2025-09-03,0.06,1,39
U1000695,2025-07-14,7.21,2,12
U1000696,2025-08-29,9.19,0,39
