user_id,campaign_type,engaged,conversion
U1052339,Discount,Yes,Yes
U1095722,Cashback,Yes,No
U1041143,Cashback,No,No
U1008466,Referral,No,Yes
U1062936,Referral,Yes,No
U1096381,Discount,Yes,No
U1048565,Discount,No,Yes
U1057042,Referral,Yes,No
U1024530,Cashback,Yes,No
U1083364,Referral,Yes,No
U1052911,Discount,No,No
U1077164,Personalized Offer,Yes,No
U1063794,Personalized Offer,No,No
U1046135,Personalized Offer,Yes,No
U1016554,Referral,No,No
U1069895,Cashback,No,No
U1032220,Cashback,Yes,Yes
U1015828,Referral,Yes,Yes
U1058234,Referral,Yes,No
U1011226,Personalized Offer,Yes,Yes
U1058794,Personalized Offer,Yes,No
U1082038,Personalized Offer,No,No
U1082350,Cashback,Yes,Yes
U1002431,Discount,No,No
U1052440,Cashback,No,No
U1020982,Referral,No,Yes
U1054245,Discount,No,No
U1039197,Personalized Offer,Yes,No
U1052358,Referral,Yes,No
U1075245,Referral,No,Yes
U1098147,Personalized Offer,Yes,Yes
U1042809,Cashback,Yes,No
U1036148,Referral,No,Yes
U1097820,Referral,Yes,Yes
U1014021,Referral,No,No
U1061550,Cashback,Yes,Yes
U1083520,Personalized Offer,Yes,Yes
U1076017,Discount,Yes,No
U1033503,Discount,No,Yes
U1083503,Discount,Yes,No
U1046672,Discount,Yes,Yes
U1075261,Discount,Yes,Yes
U1030915,Personalized Offer,Yes,No
U1060196,Cashback,No,No
U1085655,Discount,No,No
U1027920,Discount,Yes,No
U1032379,Referral,Yes,Yes
U1049741,Cashback,Yes,No
U1088840,Personalized Offer,No,Yes
U1080848,Referral,Yes,No
U1069469,Referral,No,No
U1072326,Cashback,Yes,No
U1053761,Discount,Yes,Yes
U1079299,Personalized Offer,Yes,No
U1047807,Referral,Yes,No
U1022124,Referral,Yes,No
U1028473,Referral,Yes,Yes
U1069861,Cashback,No,Yes
U1024913,Cashback,Yes,Yes
U1027307,Discount,No,No
U1037595,Cashback,No,No
U1026175,Personalized Offer,Yes,Yes
U1045193,Cashback,Yes,No
U1086050,Referral,No,Yes
U1057430,Cashback,Yes,Yes
U1095062,Referral,Yes,Yes
U1044155,Discount,No,No
U1093457,Referral,Yes,Yes
U1093383,Referral,No,Yes
U1030697,Discount,No,No
U1090475,Discount,Yes,No
U1077121,Personalized Offer,Yes,No
U1057650,Cashback,No,No
U1011101,Personalized Offer,No,Yes
U1033175,Personalized Offer,Yes,No
U1007960,Cashback,Yes,No
U1013840,Discount,No,No
U1093115,Personalized Offer,Yes,No
U1019103,Discount,No,No
U1051601,Cashback,No,Yes
U1046345,Referral,No,No
U1097963,Discount,Yes,Yes
U1071440,Discount,Yes,No
U1012340,Referral,No,No
U1028760,Cashback,Yes,No
U1065956,Personalized Offer,No,Yes
U1007988,Personalized Offer,Yes,No
U1084971,Personalized Offer,Yes,No
U1017494,Referral,Yes,No
U1030349,Discount,Yes,No
U1029392,Discount,No,No
U1062768,Discount,Yes,No
U1087357,Personalized Offer,Yes,Yes
U1011989,Referral,No,Yes
U1002086,Discount,Yes,No
U1081684,Cashback,No,No
U1037988,Referral,No,No
U1080239,Discount,No,Yes
U1079970,Cashback,Yes,No
U1042633,Referral,Yes,No
U1038926,Referral,Yes,No
U1023557,Cashback,No,No
U1068991,Discount,Yes,No
U1013720,Cashback,No,Yes
U1084477,Personalized Offer,No,No
U1033920,Cashback,Yes,No
U1045679,Personalized Offer,Yes,No
U1067789,Cashback,Yes,No
U1046265,Discount,Yes,No
U1064597,Referral,Yes,No
U1070531,Cashback,Yes,No
U1087612,Cashback,No,No
U1028198,Personalized Offer,Yes,No
U1016977,Cashback,No,No
U1089129,Referral,No,No
U1079342,Personalized Offer,Yes,No
U1088432,Cashback,Yes,Yes
U1068828,Discount,No,No
U1095582,Referral,Yes,No
U1033277,Referral,Yes,Yes
U1048655,Cashback,No,Yes
U1081978,Personalized Offer,Yes,Yes
U1006967,Discount,No,Yes
U1034516,Personalized Offer,No,Yes
U1054902,Cashback,No,Yes
U1034583,Cashback,Yes,No
U1087318,Discount,No,No
U1019521,Discount,No,No
U1033667,Cashback,No,No
U1065427,Cashback,No,No
U1064251,Personalized Offer,No,Yes
U1061868,Cashback,Yes,No
U1000324,Cashback,No,Yes
U1050373,Personalized Offer,No,No
U1027782,Cashback,Yes,No
U1046312,Cashback,No,No
U1047542,Cashback,Yes,No
U1060525,Referral,No,No
U1047160,Cashback,Yes,No
U1036246,Referral,Yes,No
U1078036,Cashback,Yes,No
U1065604,Discount,Yes,No
U1062245,Referral,No,No
U1038792,Referral,Yes,Yes
U1028899,Personalized Offer,Yes,No
U1073626,Discount,Yes,Yes
U1096744,Discount,Yes,No
U1047918,Personalized Offer,No,Yes
U1078671,Personalized Offer,Yes,Yes
U1052844,Cashback,Yes,Yes
U1077548,Discount,Yes,Yes
U1036994,Referral,No,Yes
U1038935,Cashback,Yes,No
U1064938,Discount,No,No
U1040282,Personalized Offer,Yes,No
U1045220,Cashback,No,Yes
U1092202,Discount,No,No
U1098920,Discount,Yes,No
U1023085,Cashback,Yes,No
U1042999,Discount,Yes,Yes
U1067140,Referral,No,Yes
U1001163,Cashback,Yes,Yes
U1045892,Referral,No,Yes
U1096902,Cashback,Yes,No
U1069742,Personalized Offer,Yes,No
U1081425,Discount,Yes,No
U1099039,Discount,Yes,Yes
U1033876,Referral,No,No
U1016342,Cashback,Yes,Yes
U1064666,Referral,No,No
U1063468,Personalized Offer,No,No
U1080350,Discount,No,No
U1084670,Personalized Offer,Yes,No
U1004376,Personalized Offer,No,Yes
U1006548,Personalized Offer,Yes,No
U1041647,Discount,No,No
U1090816,Discount,Yes,No
U1084489,Personalized Offer,Yes,No
U1001906,Personalized Offer,Yes,Yes
U1073793,Cashback,Yes,No
U1053636,Discount,No,Yes
U1096926,Referral,No,No
U1078180,Personalized Offer,Yes,No
U1005750,Referral,Yes,No
U1081869,Referral,No,No
U1087046,Referral,Yes,Yes
U1007738,Discount,No,Yes
U1006289,Discount,Yes,Yes
U1076660,Referral,Yes,No
U1048400,Discount,Yes,Yes
U1061266,Referral,No,Yes
U1097711,Discount,Yes,Yes
U1097916,Personalized Offer,Yes,Yes
U1010759,Personalized Offer,Yes,Yes
U1023157,Cashback,Yes,No
U1012339,Personalized Offer,Yes,No
U1081766,Discount,Yes,Yes
U1094079,Discount,No,No
U1099117,Personalized Offer,No,No
U1006176,Referral,Yes,Yes
U1049128,Personalized Offer,No,No
U1023040,Personalized Offer,Yes,No
U1064030,Referral,No,No
U1098078,Referral,Yes,No
U1074855,Personalized Offer,No,Yes
U1007813,Referral,No,No
U1078873,Discount,No,Yes
U1025652,Referral,No,No
U1092179,Discount,No,Yes
U1026911,Referral,No,Yes
U1028517,Discount,Yes,No
U1019260,Discount,Yes,No
U1009846,Referral,Yes,Yes
U1051675,Referral,No,No
U1079169,Discount,No,No
U1015615,Personalized Offer,Yes,No
U1092499,Referral,Yes,No
U1083397,Referral,Yes,No
U1014429,Referral,No,Yes
U1021695,Discount,Yes,No
U1035752,Personalized Offer,Yes,No
U1068019,Referral,Yes,Yes
U1059478,Referral,Yes,No
U1070378,Personalized Offer,No,Yes
U1035977,Discount,Yes,No
U1035544,Personalized Offer,Yes,Yes
U1068648,Referral,Yes,Yes
U1006955,Personalized Offer,Yes,Yes
U1060584,Cashback,Yes,No
U1085137,Personalized Offer,No,No
U1046460,Discount,No,No
U1033164,Personalized Offer,Yes,No
U1053890,Referral,Yes,No
U1025457,Cashback,No,Yes
U1047049,Personalized Offer,Yes,Yes
U1056460,Personalized Offer,No,Yes
U1053375,Personalized Offer,Yes,No
U1081216,Cashback,Yes,No
U1009013,Referral,Yes,No
U1051739,Discount,Yes,Yes
U1029770,Referral,Yes,Yes
U1022150,Cashback,Yes,No
U1094921,Referral,No,Yes
U1027577,Personalized Offer,Yes,No
U1093794,Cashback,No,No
U1062163,Cashback,No,No
U1015107,Discount,No,Yes
U1098242,Referral,Yes,No
U1082980,Personalized Offer,No,No
U1014019,Discount,Yes,No
U1027665,Personalized Offer,Yes,Yes
U1066099,Referral,Yes,Yes
U1033192,Cashback,Yes,Yes
U1090620,Discount,Yes,No
U1041922,Referral,No,No
U1048691,Personalized Offer,No,No
U1086822,Cashback,No,Yes
U1020277,Discount,No,Yes
U1048726,Referral,Yes,No
U1000015,Discount,Yes,Yes
U1023473,Discount,Yes,No
U1066077,Cashback,No,Yes
U1055414,Referral,Yes,Yes
U1069536,Cashback,Yes,No
U1001957,Cashback,No,Yes
U1096261,Referral,No,No
U1065312,Cashback,No,Yes
U1033157,Cashback,Yes,No
U1073544,Personalized Offer,No,No
U1059647,Personalized Offer,Yes,Yes
U1024624,Personalized Offer,Yes,Yes
U1063128,Personalized Offer,Yes,No
U1043178,Personalized Offer,Yes,No
U1097771,Discount,Yes,No
U1052004,Personalized Offer,No,Yes
U1036290,Discount,Yes,No
U1092917,Referral,Yes,No
U1023424,Cashback,Yes,No
U1055376,Cashback,No,No
U1039996,Discount,No,No
U1078397,Discount,No,No
U1048007,Discount,Yes,No
U1052891,Referral,Yes,No
U1019763,Cashback,Yes,No
U1097359,Referral,Yes,Yes
U1081703,Personalized Offer,No,No
U1008579,Cashback,No,Yes
U1050676,Discount,Yes,Yes
U1066812,Personalized Offer,Yes,Yes
U1053586,Cashback,Yes,Yes
U1056291,Personalized Offer,Yes,No
U1021332,Discount,No,Yes
U1039598,Discount,Yes,No
U1019305,Cashback,Yes,No
U1056043,Referral,Yes,Yes
U1030103,Personalized Offer,Yes,Yes
U1022467,Discount,No,No
U1031321,Personalized Offer,Yes,No
U1066554,Cashback,Yes,No
U1043360,Cashback,Yes,No
U1071544,Referral,Yes,No
U1038536,Referral,Yes,No
U1089480,Personalized Offer,No,Yes
U1063775,Personalized Offer,No,No
U1088011,Cashback,No,Yes
U1028384,Referral,Yes,No
U1048753,Discount,No,No
U1051481,Referral,Yes,Yes
U1054498,Referral,Yes,Yes
U1017008,Referral,Yes,Yes
U1032104,Personalized Offer,No,No
U1090946,Discount,No,Yes
U1020339,Personalized Offer,Yes,No
U1009905,Cashback,Yes,Yes
U1072944,Cashback,No,Yes
U1091160,Referral,No,Yes
U1017730,Referral,Yes,No
U1077520,Personalized Offer,No,No
U1023514,Personalized Offer,Yes,Yes
U1076712,Cashback,No,No
U1081463,Personalized Offer,Yes,No
U1030109,Personalized Offer,Yes,No
U1061952,Cashback,Yes,Yes
U1096320,Discount,No,Yes
U1079584,Cashback,Yes,Yes
U1091741,Personalized Offer,Yes,Yes
U1012065,Cashback,Yes,No
U1034231,Discount,Yes,No
U1004078,Discount,No,No
U1016341,Discount,Yes,No
U1025317,Cashback,Yes,No
U1031247,Referral,Yes,No
U1090503,Cashback,No,Yes
U1006234,Cashback,Yes,No
U1075507,Discount,Yes,No
U1073611,Referral,Yes,No
U1016418,Personalized Offer,Yes,No
U1042661,Cashback,Yes,Yes
U1007242,Discount,Yes,No
U1008724,Discount,Yes,Yes
U1057253,Personalized Offer,No,Yes
U1076487,Cashback,No,Yes
U1015144,Personalized Offer,Yes,No
U1032459,Cashback,Yes,Yes
U1005046,Discount,No,No
U1056614,Personalized Offer,No,No
U1028719,Referral,Yes,Yes
U1047360,Personalized Offer,No,No
U1019106,Cashback,Yes,No
U1026727,Cashback,No,No
U1019744,Cashback,No,Yes
U1064756,Referral,No,No
U1091469,Referral,No,Yes
U1041775,Discount,No,No
U1025404,Referral,Yes,Yes
U1059530,Cashback,No,No
U1036485,Cashback,No,Yes
U1021960,Personalized Offer,Yes,Yes
U1018218,Discount,No,Yes
U1003897,Personalized Offer,No,Yes
U1039972,Personalized Offer,No,No
U1005118,Personalized Offer,Yes,No
U1085868,Personalized Offer,No,No
U1075494,Discount,No,Yes
U1051380,Referral,Yes,Yes
U1047191,Cashback,Yes,No
U1085003,Referral,Yes,No
U1067911,Discount,No,Yes
U1078700,Cashback,No,No
U1060236,Personalized Offer,No,No
U1031659,Discount,No,Yes
U1013396,Cashback,No,Yes
U1024452,Personalized Offer,Yes,No
U1090602,Discount,Yes,Yes
U1089072,Personalized Offer,Yes,No
U1041298,Personalized Offer,Yes,Yes
U1076851,Personalized Offer,No,Yes
U1023474,Discount,Yes,No
U1071376,Personalized Offer,No,Yes
U1042896,Referral,Yes,No
U1060369,Cashback,No,Yes
U1031242,Cashback,Yes,No
U1021307,Referral,Yes,No
U1038685,Cashback,Yes,Yes
U1025603,Referral,Yes,No
U1026215,Discount,No,No
U1018056,Discount,Yes,No
U1014548,Cashback,Yes,Yes
U1039168,Cashback,No,Yes
U1099083,Referral,Yes,No
U1097730,Cashback,Yes,No
U1003296,Discount,Yes,No
U1003360,Discount,No,No
U1095889,Discount,No,No
U1080967,Cashback,Yes,No
U1065960,Discount,Yes,No
U1091216,Cashback,Yes,No
U1031960,Cashback,Yes,Yes
U1084543,Personalized Offer,Yes,No
U1079882,Cashback,No,No
U1011797,Discount,Yes,No
U1096326,Referral,Yes,Yes
U1037496,Referral,Yes,Yes
U1025986,Discount,Yes,No
U1095367,Cashback,No,Yes
U1010852,Referral,Yes,No
U1012257,Discount,Yes,Yes
U1094879,Cashback,Yes,No
U1037690,Cashback,Yes,No
U1009331,Discount,Yes,No
U1027747,Referral,Yes,No
U1032846,Referral,Yes,Yes
U1047689,Discount,Yes,No
U1066128,Discount,Yes,No
U1014232,Cashback,Yes,Yes
U1017596,Discount,Yes,No
U1081724,Referral,Yes,No
U1094363,Referral,Yes,No
U1099244,Referral,Yes,No
U1047923,Referral,Yes,No
U1098722,Referral,Yes,Yes
U1028815,Cashback,Yes,No
U1038442,Cashback,No,No
U1042498,Referral,Yes,No
U1018053,Cashback,Yes,No
U1065400,Personalized Offer,Yes,Yes
U1015504,Discount,No,Yes
U1044610,Cashback,No,Yes
U1070925,Cashback,Yes,Yes
U1054381,Discount,Yes,No
U1032356,Cashback,Yes,No
U1076821,Referral,Yes,Yes
U1035577,Discount,No,Yes
U1072351,Referral,No,Yes
U1041918,Cashback,No,Yes
U1065368,Personalized Offer,Yes,No
U1066080,Personalized Offer,No,Yes
U1009463,Personalized Offer,Yes,Yes
U1086621,Personalized Offer,No,No
U1096390,Discount,Yes,No
U1016845,Discount,No,Yes
U1045823,Referral,Yes,No
U1021300,Referral,Yes,Yes
U1093721,Referral,Yes,Yes
U1032136,Cashback,No,No
U1061521,Referral,Yes,No
U1081325,Referral,No,Yes
U1021941,Discount,Yes,Yes
U1079673,Referral,Yes,No
U1074187,Personalized Offer,Yes,No
U1069245,Discount,Yes,No
U1073944,Cashback,Yes,No
U1008557,Personalized Offer,Yes,No
U1039500,Cashback,No,No
U1096625,Discount,Yes,Yes
U1048865,Personalized Offer,Yes,No
U1028603,Cashback,Yes,No
U1090743,Personalized Offer,No,Yes
U1019354,Referral,Yes,No
U1002053,Personalized Offer,Yes,Yes
U1036199,Cashback,No,No
U1015090,Referral,Yes,No
U1056222,Cashback,Yes,No
U1091214,Referral,Yes,Yes
U1089130,Personalized Offer,No,No
U1095038,Discount,Yes,Yes
U1013830,Discount,No,No
U1058050,Personalized Offer,Yes,No
U1097888,Personalized Offer,Yes,Yes
U1063563,Personalized Offer,Yes,Yes
U1026013,Personalized Offer,Yes,Yes
U1095421,Discount,Yes,No
U1026171,Discount,Yes,No
U1043274,Cashback,No,Yes
U1031769,Referral,Yes,Yes
U1077696,Referral,Yes,Yes
U1027549,Cashback,Yes,No
U1057090,Personalized Offer,Yes,No
U1088414,Personalized Offer,No,No
U1078944,Discount,Yes,Yes
U1020747,Cashback,No,Yes
U1079113,Discount,Yes,No
U1045143,Cashback,No,No
U1082318,Referral,No,No
U1061349,Personalized Offer,No,No
U1002087,Personalized Offer,Yes,Yes
U1094479,Discount,No,No
U1068178,Referral,Yes,Yes
U1065456,Personalized Offer,No,Yes
U1073501,Cashback,No,Yes
U1018222,Cashback,No,Yes
U1042331,Referral,Yes,Yes
U1091188,Referral,No,No
U1073634,Cashback,No,No
U1045245,Referral,Yes,Yes
U1096294,Personalized Offer,Yes,Yes
U1013218,Personalized Offer,No,Yes
U1091956,Discount,No,Yes
U1091993,Referral,Yes,Yes
U1047604,Discount,Yes,Yes
U1088531,Personalized Offer,Yes,Yes
U1044383,Referral,Yes,No
U1081225,Cashback,Yes,No
U1088642,Personalized Offer,No,No
U1045943,Cashback,No,No
U1043522,Discount,No,No
U1081757,Discount,Yes,Yes
U1050140,Cashback,No,No
U1049792,Cashback,No,Yes
U1052641,Discount,Yes,No
U1056379,Discount,Yes,No
U1056967,Referral,Yes,Yes
U1003706,Referral,No,No
U1069923,Discount,Yes,Yes
U1089189,Personalized Offer,No,No
U1002043,Cashback,No,Yes
U1096449,Discount,Yes,No
U1099007,Cashback,No,No
U1076945,Discount,No,No
U1027799,Cashback,Yes,No
U1009932,Discount,No,No
U1003429,Discount,Yes,No
U1093339,Personalized Offer,Yes,Yes
U1024386,Discount,No,Yes
U1006894,Cashback,Yes,No
U1092067,Referral,Yes,No
U1004456,Discount,Yes,Yes
U1093950,Personalized Offer,No,Yes
U1097894,Referral,No,No
U1027356,Personalized Offer,No,Yes
U1005436,Personalized Offer,Yes,No
U1033175,Cashback,Yes,No
U1017933,Personalized Offer,No,No
U1047738,Cashback,Yes,Yes
U1001710,Discount,Yes,Yes
U1045667,Discount,Yes,No
U1057199,Cashback,Yes,Yes
U1057914,Referral,No,No
U1094195,Cashback,Yes,No
U1039861,Discount,Yes,Yes
U1078553,Personalized Offer,Yes,Yes
U1025213,Personalized Offer,No,Yes
U1031764,Cashback,No,Yes
U1074141,Cashback,Yes,No
U1043923,Personalized Offer,Yes,Yes
U1057799,Cashback,Yes,No
U1040208,Referral,Yes,No
U1023046,Cashback,No,No
U1064598,Cashback,Yes,No
U1071977,Personalized Offer,Yes,Yes
U1011661,Referral,No,No
U1065493,Cashback,Yes,No
U1031758,Discount,No,No
U1099339,Personalized Offer,No,Yes
U1047608,Discount,Yes,No
U1068932,Personalized Offer,Yes,No
U1044695,Referral,Yes,No
U1031312,Discount,No,Yes
U1018240,Personalized Offer,Yes,No
U1049354,Cashback,Yes,Yes
U1016419,Cashback,Yes,Yes
U1044723,Personalized Offer,Yes,No
U1008583,Referral,Yes,No
U1087521,Personalized Offer,No,No
U1054318,Referral,Yes,No
U1084932,Discount,Yes,No
U1089536,Discount,No,No
U1043045,Personalized Offer,No,Yes
U1035864,Discount,No,Yes
U1041790,Referral,Yes,Yes
U1089084,Personalized Offer,No,No
U1034380,Cashback,Yes,Yes
U1046062,Cashback,Yes,Yes
U1051246,Referral,No,No
U1022494,Discount,Yes,No
U1002372,Discount,Yes,No
U1050525,Referral,Yes,Yes
U1012004,Discount,Yes,Yes
U1084543,Personalized Offer,Yes,Yes
U1029454,Referral,No,No
U1022134,Discount,Yes,No
U1033744,Cashback,Yes,Yes
U1054792,Referral,No,No
U1098619,Discount,No,No
U1037394,Cashback,No,Yes
U1001854,Personalized Offer,Yes,No
U1077656,Personalized Offer,Yes,No
U1013970,Personalized Offer,Yes,No
U1043976,Cashback,Yes,No
U1030406,Discount,Yes,Yes
U1054416,Personalized Offer,No,No
U1013765,Referral,No,Yes
U1020704,Discount,Yes,No
U1044383,Personalized Offer,No,No
U1043068,Referral,No,No
U1046076,Discount,No,No
U1041313,Personalized Offer,Yes,No
U1012572,Discount,No,Yes
U1021133,Discount,Yes,Yes
U1079470,Personalized Offer,Yes,No
U1046923,Discount,Yes,No
U1082844,Discount,Yes,No
U1068362,Referral,Yes,Yes
U1056054,Discount,No,No
U1044399,Discount,Yes,No
U1086714,Personalized Offer,No,No
U1051259,Discount,No,No
U1074513,Discount,No,Yes
U1049209,Personalized Offer,Yes,No
U1080118,Referral,Yes,Yes
U1076363,Referral,Yes,No
U1013971,Cashback,Yes,No
U1091968,Cashback,Yes,Yes
U1089503,Referral,No,No
U1060003,Personalized Offer,No,Yes
U1075705,Discount,Yes,No
U1085844,Cashback,No,No
U1000693,Personalized Offer,Yes,No
U1045220,Discount,No,Yes
U1060355,Personalized Offer,No,No
U1055176,Cashback,Yes,No
U1080400,Referral,Yes,No
U1045150,Referral,No,Yes
U1034085,Discount,Yes,No
U1080740,Cashback,Yes,No
U1078844,Cashback,No,No
U1068328,Cashback,Yes,Yes
U1013776,Discount,No,Yes
U1064181,Referral,No,No
U1092822,Referral,Yes,Yes
U1093220,Personalized Offer,Yes,Yes
U1084092,Cashback,Yes,No
U1018837,Referral,Yes,Yes
U1029916,Referral,No,No
U1096511,Personalized Offer,Yes,No
U1034353,Cashback,No,No
U1074808,Cashback,Yes,Yes
U1014871,Personalized Offer,No,Yes
U1096078,Personalized Offer,No,No
U1043732,Referral,No,No
U1065115,Discount,Yes,Yes
U1060833,Referral,Yes,No
U1019998,Cashback,Yes,No
U1099752,Cashback,Yes,No
U1000690,Cashback,No,Yes
U1098784,Referral,No,No
U1059250,Referral,Yes,Yes
U1011844,Referral,Yes,No
U1028704,Discount,No,No
U1093013,Personalized Offer,Yes,No
U1079410,Discount,No,No
U1095696,Personalized Offer,Yes,Yes
U1021429,Discount,No,Yes
U1000345,Cashback,No,Yes
U1049135,Cashback,Yes,No
U1014707,Personalized Offer,No,No
U1050950,Referral,No,No
U1035117,Personalized Offer,Yes,No
U1091420,Personalized Offer,Yes,No
U1001856,Cashback,No,No
U1034884,Referral,No,Yes
U1019987,Referral,Yes,Yes
U1027724,Referral,Yes,No
U1048261,Cashback,No,Yes
